movie,year,certificate,genre.1,genre.2,genre.3,imdb_rating,metascore,time_minute,vote,gross_earning
Seven Pounds,(2008),UA,Drama,'-,'-,7.6,36,123 min,306873,$69.95M
Philadelphia,(1993),UA,Drama,'-,'-,7.7,66,125 min,246564,$77.32M
The Curious Case of Benjamin Button,(2008),UA,Drama, Fantasy, Romance,7.8,70,166 min,661501,$127.51M
JFK,(1991),UA,Drama, History, Thriller,8,72,189 min,160335,$70.41M
Billy Elliot,(2000),UA,Drama, Music,'-,7.7,74,110 min,137515,$22.00M
Gully Boy,(2019),UA,Drama, Music, Romance,7.9,65,154 min,40882,$5.57M
The Father,(I) (2020),UA,Drama, Mystery,'-,8.2,88,97 min,162206,#130
Citizen Kane,(1941),UA,Drama, Mystery,'-,8.3,100,119 min,446885,$1.59M
Atonement,(2007),UA,Drama, Mystery, Romance,7.8,85,123 min,284552,$50.93M
Donnie Darko,(2001),UA,Drama, Mystery, Sci-Fi,8,88,113 min,812344,$1.48M
Arrival,(II) (2016),UA,Drama, Mystery, Sci-Fi,7.9,81,116 min,709209,$100.55M
Das weiße Band - Eine deutsche Kindergeschichte,(2009),UA,Drama, Mystery, Thriller,7.8,82,144 min,74957,$2.22M
The Game,(1997),UA,Drama, Mystery, Thriller,7.7,63,129 min,404807,$48.32M
Der Name der Rose,(1986),UA,Drama, Mystery, Thriller,7.7,54,130 min,111008,$7.15M
Mulholland Dr.,(2001),UA,Drama, Mystery, Thriller,7.9,86,147 min,363045,$7.22M
Chinatown,(1974),UA,Drama, Mystery, Thriller,8.2,92,130 min,331557,$8.49M
The Fault in Our Stars,(2014),UA,Drama, Romance,'-,7.7,69,126 min,383582,$124.87M
Call Me by Your Name,(2017),UA,Drama, Romance,'-,7.8,94,132 min,282809,$18.10M
Forrest Gump,(1994),UA,Drama, Romance,'-,8.8,82,142 min,2109349,$330.25M
Titanic,(1997),UA,Drama, Romance,'-,7.9,75,194 min,1205377,$659.33M
Eternal Sunshine of the Spotless Mind,(2004),UA,Drama, Romance, Sci-Fi,8.3,89,108 min,1021184,$34.40M
Gattaca,(1997),UA,Drama, Sci-Fi, Thriller,7.8,64,106 min,309533,$12.34M
Ex Machina,(2014),UA,Drama, Sci-Fi, Thriller,7.7,78,108 min,555140,$25.44M
Gravity,(2013),UA,Drama, Sci-Fi, Thriller,7.7,96,91 min,835556,$274.09M
The Butterfly Effect,(2004),UA,Drama, Sci-Fi, Thriller,7.6,30,113 min,497371,$57.94M
Million Dollar Baby,(2004),UA,Drama, Sport,'-,8.1,86,132 min,694610,$100.49M
The Wrestler,(2008),UA,Drama, Sport,'-,7.9,80,109 min,310729,$26.24M
Forushande,(2016),UA,Drama, Thriller,'-,7.7,85,124 min,61785,$2.40M
Platoon,(1986),UA,Drama, War,'-,8.1,92,120 min,419749,$138.53M
Full Metal Jacket,(1987),UA,Drama, War,'-,8.3,78,116 min,751418,$46.36M
The Hobbit: The Desolation of Smaug,(2013),UA,Fantasy,'-,'-,7.8,66,161 min,673357,$258.37M
The Hobbit: An Unexpected Journey,(2012),UA,Fantasy,'-,'-,7.8,58,169 min,838072,$303.00M
Kahaani,(2012),UA,Mystery, Thriller,'-,8.1,'-,122 min,63692,$1.04M
Memento,(2000),UA,Mystery, Thriller,'-,8.4,81,113 min,1252090,$25.54M
The Outlaw Josey Wales,(1976),UA,Western,'-,'-,7.8,69,135 min,75658,$31.80M
Sardar Udham,(2021),UA 13+,Biography, Crime, Drama,8.4,'-,164 min,43555,'-
Thirteen Lives,(2022),UA 16+,Action, Adventure, Biography,7.8,66,147 min,58273,'-
Dil Chahta Hai,(2001),Unrated,Comedy, Drama, Romance,8.1,'-,183 min,73359,$0.30M
